iter	Passed	Remaining
0	2	219
1	4	217
2	6	208
3	8	195
4	10	198
5	12	196
6	14	192
7	16	190
8	18	186
9	20	185
10	22	182
11	24	179
12	26	176
13	28	175
14	30	174
15	32	171
16	34	170
17	36	167
18	39	166
19	41	164
20	43	163
21	45	160
22	47	158
23	49	155
24	51	153
25	53	151
26	55	149
27	57	147
28	59	144
29	61	142
30	63	140
31	65	138
32	67	136
33	69	134
34	71	131
35	72	129
36	75	127
37	77	125
38	79	123
39	81	121
40	82	119
41	83	115
42	85	113
43	87	111
44	89	109
45	91	106
46	93	104
47	95	103
48	97	101
49	99	99
50	101	97
51	103	95
52	105	93
53	108	92
54	111	91
55	113	89
56	115	87
57	118	85
58	119	83
59	122	81
60	124	79
61	126	77
62	128	75
63	131	73
64	133	71
65	135	69
66	137	67
67	139	65
68	141	63
69	143	61
70	146	59
71	148	57
72	150	55
73	152	53
74	154	51
75	156	49
76	158	47
77	160	45
78	163	43
79	165	41
80	167	39
81	170	37
82	172	35
83	174	33
84	177	31
85	179	29
86	181	27
87	183	25
88	186	23
89	188	20
90	190	18
91	192	16
92	194	14
93	196	12
94	198	10
95	200	8
96	202	6
97	205	4
98	207	2
99	209	0
