iter	Passed	Remaining
0	164	164344
1	166	83172
2	169	56191
3	171	42699
4	174	34656
5	176	29270
6	178	25376
7	180	22441
8	183	20165
9	185	18374
10	188	16905
11	190	15688
12	192	14643
13	195	13754
14	197	12974
15	200	12303
16	202	11725
17	205	11198
18	207	10733
19	210	10305
20	212	9912
21	214	9553
22	217	9229
23	219	8929
24	221	8649
25	224	8397
26	226	8168
27	229	7959
28	231	7759
29	234	7574
30	236	7393
31	239	7230
32	241	7067
33	243	6914
34	245	6779
35	248	6649
36	250	6521
37	252	6400
38	255	6292
39	257	6187
40	260	6095
41	263	6008
42	266	5921
43	268	5837
44	271	5757
45	273	5680
46	276	5603
47	278	5530
48	281	5463
49	283	5395
50	286	5326
51	288	5261
52	290	5195
53	292	5131
54	295	5073
55	297	5022
56	300	4969
57	302	4917
58	305	4864
59	307	4816
60	309	4766
61	311	4719
62	314	4676
63	317	4639
64	320	4615
65	324	4593
66	328	4568
67	332	4551
68	336	4537
69	338	4499
70	340	4457
71	342	4419
72	345	4385
73	347	4348
74	349	4315
75	352	4281
76	354	4249
77	356	4216
78	359	4187
79	361	4157
80	364	4131
81	366	4103
82	367	4065
83	370	4037
84	372	4013
85	375	3990
86	378	3969
87	380	3944
88	382	3920
89	385	3896
90	387	3875
91	390	3850
92	392	3830
93	395	3810
94	397	3788
95	399	3766
96	402	3746
97	404	3724
98	407	3705
99	409	3684
100	411	3665
101	414	3645
102	416	3627
103	419	3611
104	421	3591
105	423	3574
106	426	3556
107	428	3539
108	430	3523
109	433	3505
110	435	3488
111	437	3472
112	440	3457
113	442	3440
114	445	3425
115	447	3408
116	449	3390
117	451	3376
118	454	3363
119	456	3347
120	458	3333
121	460	3316
122	463	3304
123	465	3291
124	468	3279
125	470	3266
126	473	3251
127	475	3238
128	477	3226
129	480	3212
130	482	3199
131	484	3186
132	487	3176
133	489	3165
134	492	3155
135	495	3146
136	497	3135
137	500	3126
138	503	3116
139	505	3107
140	508	3098
141	510	3083
142	513	3076
143	515	3066
144	518	3059
145	521	3049
146	523	3040
147	526	3031
148	529	3023
149	531	3013
150	534	3007
151	537	2997
152	539	2988
153	542	2981
154	545	2976
155	548	2968
156	550	2958
157	553	2949
158	555	2939
159	558	2931
160	560	2918
161	562	2910
162	565	2901
163	567	2893
164	569	2884
165	572	2876
166	574	2867
167	577	2859
168	579	2850
169	582	2843
170	584	2835
171	587	2827
172	589	2819
173	592	2813
174	595	2805
175	597	2796
176	599	2788
177	602	2781
178	604	2774
179	607	2768
180	610	2761
181	612	2753
182	615	2746
183	618	2741
184	620	2733
185	623	2727
186	625	2721
187	628	2714
188	631	2707
189	633	2700
190	635	2693
191	638	2686
192	640	2679
193	643	2671
194	645	2665
195	647	2657
196	650	2651
197	653	2645
198	655	2640
199	658	2634
200	660	2627
201	663	2622
202	666	2615
203	669	2610
204	671	2604
205	673	2597
206	675	2589
207	678	2581
208	680	2573
209	682	2566
210	684	2559
211	686	2552
212	688	2545
213	691	2538
214	693	2531
215	695	2524
216	697	2517
217	700	2511
218	702	2505
219	704	2498
220	707	2492
221	709	2485
222	711	2478
223	713	2472
224	716	2467
225	718	2460
226	720	2455
227	723	2448
228	725	2442
229	728	2437
230	730	2432
231	733	2428
232	736	2423
233	738	2417
234	740	2411
235	743	2405
236	745	2400
237	748	2395
238	750	2388
239	752	2384
240	755	2378
241	757	2372
242	760	2368
243	762	2362
244	765	2357
245	767	2351
246	769	2345
247	771	2339
248	775	2339
249	778	2334
250	780	2328
251	782	2323
252	784	2317
253	787	2312
254	789	2307
255	792	2302
256	794	2296
257	796	2290
258	798	2285
259	801	2280
260	803	2275
261	806	2270
262	808	2265
263	811	2261
264	813	2256
265	816	2252
266	818	2247
267	820	2241
268	822	2236
269	825	2231
270	827	2226
271	829	2220
272	831	2215
273	833	2209
274	835	2203
275	838	2200
276	841	2196
277	843	2190
278	845	2184
279	847	2179
280	849	2174
281	852	2169
282	854	2165
